,Delta,Theta,AlphaLow,AlphaHigh,BetaLow,BetaHigh,GammaLow,GammaMid,target
15,0.048269689968568875,0.05624424192817022,0.060108402895633954,0.04816882026710904,0.061807429413727376,0.08620834345561794,0.2093999818613824,0.42979309020979006,0
16,0.07328482500738073,0.08138167005723956,0.06459257368840549,0.07268991179247285,0.08441556165665427,0.103434751734402,0.18050605848645812,0.33969464757698703,0
17,0.04182411894883356,0.04402385505933875,0.03802820164905186,0.0490227205259932,0.05300939383740666,0.05757628366954471,0.15488413607732499,0.5616312902325064,0
18,0.06707173429495004,0.06594741030617167,0.06984185654066283,0.06263697136682449,0.06703412666164175,0.09394284809915085,0.15142808060355806,0.4220969721270403,0
19,0.07309687359746644,0.06711495754962632,0.04885234908920542,0.08273696632283267,0.08352413798769676,0.09536415558711646,0.21289293395245584,0.33641762591359997,0
20,0.06636490833201443,0.06823295178856842,0.04660505051880628,0.06581942969327192,0.06109246947455364,0.09060406321386193,0.19783619080726414,0.40344493617165933,0
21,0.02298157464382186,0.03946939028713743,0.03625822393764459,0.031574711362671606,0.05185294576445964,0.05427037309692166,0.18968918517742167,0.5739035957299216,0
22,0.05824394957096352,0.08606928452475728,0.06133248688472664,0.09196864556734831,0.07550903581424147,0.09466355527064275,0.17452346456768678,0.3576895777996333,0
23,0.04784609148972622,0.05563150770489302,0.046169222530254156,0.05856791282596412,0.054217933675816156,0.07485779564935183,0.17617661578929386,0.4865329203347007,0
24,0.03493808854522711,0.04305230020915511,0.05835480689917348,0.04133111290104025,0.04343860980869033,0.06412362460227496,0.2138001630635337,0.5009612939709052,0
25,0.03311352832376549,0.03069097585349321,0.023333398971366878,0.04336165916508884,0.04437188661794345,0.09352028397228948,0.19875317591458724,0.5328550911814653,0
26,0.047384112458816484,0.03279333231234123,0.026986445520895394,0.0356381129763549,0.05060710401490853,0.052355746078037994,0.19856679494601068,0.5556683516926347,0
27,0.04186421936931766,0.052574332650080983,0.06373283309819774,0.040695893237874474,0.07342276653513025,0.09286323355904683,0.19368116346262584,0.4411655580877263,0
28,0.10427111746038296,0.10599427752559758,0.12206943053107586,0.12469678502864782,0.16334907871840315,0.1901688438634729,0.08607177388049435,0.10337869299192524,1
29,0.03517904370027083,0.035860664574525865,0.03663998236313962,0.03440622661630288,0.04101063278308682,0.06683678841626152,0.4139012385402324,0.3361654230061801,1
30,0.10891045152634078,0.11764228697451085,0.11984992866954274,0.12168968443964213,0.13363287320354697,0.18178957380140603,0.09733422740086173,0.11915097398414888,1
31,0.10834106605373629,0.1191174830085599,0.13031564463750375,0.13511244216162938,0.1641133121933028,0.14443681462235589,0.0796277627170375,0.1189354746058745,1
32,0.11708193828632768,0.1509691761099514,0.12006159477638612,0.11459361284350192,0.1491568558137704,0.1407342758451635,0.08897218707183521,0.1184303592530638,1
33,0.11547558618916832,0.15314740815320366,0.194212250438085,0.11094194190212325,0.1295989144432854,0.10227717037979761,0.08291558231199585,0.11143114618234075,1
34,0.1248014845433695,0.14647178053452076,0.14438002227450328,0.11786568219759734,0.15945650546164883,0.12298529034380944,0.08940188465982563,0.0946373499847253,1
35,0.1135162876131314,0.12019649469974884,0.12249226934073096,0.11959734417290895,0.18237771430781685,0.16505492317115408,0.08498259034811889,0.09178237634639001,1
36,0.161991639846521,0.16257090072245745,0.17056036709748418,0.1334445740974996,0.10364971445101277,0.08841021106714832,0.06413162384692155,0.11524096887095504,1
37,0.08644999069315878,0.06130894942594835,0.08138410852273928,0.05756307217657762,0.06713323470097979,0.07587400663995938,0.13617946508838652,0.43410717275225025,1
38,0.11647431090513598,0.11019514723857592,0.12411785751345322,0.14086344393216513,0.14751060603952898,0.17973161629163203,0.08292626354371165,0.09818075453579718,1
39,0.0923902198837556,0.12167045717933854,0.11424341266031109,0.11259008594631995,0.1519552151546254,0.1738771783989848,0.12483167995217989,0.10844175082448476,1
40,0.1070625588799707,0.11749263013704263,0.10524768035938385,0.10161912450855728,0.12644524976770014,0.19547577527941362,0.12756127342852364,0.11909570763940809,1
41,0.09457129799325371,0.11554584713615526,0.09848259294459304,0.11799766645894043,0.1253109815089463,0.19581412035415482,0.13493951864884365,0.11733797495511286,1
42,0.1081026021999237,0.10133700739100068,0.1121499178215541,0.10499244628967763,0.1395200209389482,0.1854773393042429,0.12272044595156813,0.12570022010308474,1
43,0.10382013049694061,0.11694136232831866,0.11029045430035618,0.13699232314879095,0.15372545911073948,0.16183587771126237,0.11783961449944433,0.09855477840414746,1
44,0.08702833685272429,0.08366567107051198,0.09573612269545523,0.10655134381518797,0.14068603263770907,0.1944235723974762,0.14096398661024587,0.15094493392068936,1
45,0.10357882210902908,0.09452430273708018,0.09936156547447555,0.09759214174713576,0.15083886824046214,0.1932579858343916,0.13028385271285256,0.13056246114457307,1
46,0.08423855273932235,0.10268017126614226,0.10096385489475325,0.10784749984012612,0.13629518314194367,0.18750630764628076,0.13954231423476512,0.1409261162366665,1
47,0.09444815051883942,0.09734087591332895,0.10096404512285641,0.11913149590388641,0.12199356069484013,0.1855997650896035,0.14743245040930425,0.133089656347341,1
48,0.10114818049776797,0.08693013719439044,0.14743719949921807,0.10030158494087923,0.13906830302321066,0.17428566061131176,0.12577030718146634,0.12505862705175544,1
49,0.08322419840246235,0.08834092557509152,0.0979031775156747,0.11028334279480785,0.1516760509976506,0.200445577403531,0.1289910889374767,0.13913563837330542,1
50,0.08686224752771664,0.0875384814245006,0.11277060386346373,0.11028160047898634,0.15218564717218422,0.1870732876234908,0.13279790676868333,0.13049022514097453,1
51,0.07872313360788685,0.08569779408950833,0.07982898872678182,0.09886532113450715,0.10639517366663437,0.15685773466638886,0.1328447694571992,0.2607870846510934,1
52,0.07888076653504135,0.07302341031094002,0.08428844903795868,0.09466266787288266,0.10390906945999946,0.13138933096974692,0.203966405122892,0.22987990069053885,1
53,0.0754035886831134,0.08650645923153877,0.08494697273542719,0.07533190228673635,0.07885456995667733,0.14331201931477242,0.1784605060690981,0.27718398172263653,1
54,0.083263698272391,0.08923824614996433,0.08386388919891699,0.0733044475948421,0.09407036949856697,0.1301811400173354,0.21089929253401016,0.23517891673397295,1
55,0.0791107344794704,0.08695419473724673,0.09032783522439397,0.11571202499285618,0.09718433810002977,0.15337266899349192,0.18449270538593668,0.19284549808657434,1
56,0.07104106614004245,0.05850666843467119,0.0925533752633853,0.08188987774410675,0.08433601626191159,0.10512970972357683,0.172930348433435,0.3336129379988709,1
57,0.07091458878896466,0.05821679924275043,0.04654320612963451,0.07201951855109348,0.09370501176353027,0.11413410259178336,0.20121011972531466,0.34325665320692855,1
58,0.07811119702102906,0.09451040814067965,0.12958517350923032,0.107337097516892,0.1510418212597496,0.2011895692456781,0.11559770733594502,0.12262702597079626,1
59,0.08863106331429041,0.1222540218835177,0.07738260945319626,0.08957336296042645,0.136348992089103,0.2047525878980472,0.1421127433907178,0.13894461901070124,1
60,0.11372299431002643,0.09537285058041942,0.10683909500802395,0.10163842867047673,0.16694929146002654,0.1773004584332683,0.12913479926552882,0.10904208227222978,1
61,0.04782097632449862,0.06922995573877053,0.07685123894763568,0.0555355373759186,0.07463743200659666,0.08444120086918068,0.1654007923185841,0.42608286641881504,2
62,0.09363954018616329,0.12354372804643822,0.1051778196128797,0.09425576766743217,0.10222956187614987,0.09145710859980484,0.13379408532255438,0.2559023886885775,2
63,0.14028990858284066,0.10985371392504209,0.12832231136385486,0.1311388279362265,0.11828326963973361,0.11875005840625133,0.10111281600713751,0.15224909413891338,2
64,0.10327059755294864,0.10450889071824689,0.10822188737426919,0.10219781557633642,0.09873727955784826,0.11627952696283646,0.11491152367139328,0.2518724785861209,2
65,0.09501339946479019,0.12433577028311853,0.1361533546750132,0.11528588688875979,0.14912029517357814,0.13977440503219438,0.10311040874096755,0.13720647974157837,2
66,0.11729012535274468,0.1193518457098954,0.1608735198388629,0.12364685706719178,0.14435557851913194,0.13897981117401512,0.08952873790886505,0.10597352442929311,2
67,0.09552466807754219,0.10620842530534841,0.1307994008105387,0.12389624979131912,0.15375137427415989,0.1426798801715698,0.09620029378216721,0.1509397077873547,2
68,0.07903942226799704,0.11104555495603043,0.12581626649627836,0.11926831710312424,0.15146507533410764,0.19692172961216695,0.10578292661628405,0.11066070761401137,2
69,0.07289450549755452,0.09390107964416192,0.10462171367278779,0.16040666366522946,0.18297834375069852,0.20537994146239666,0.08455392799490247,0.09526382431226853,2
70,0.09026032416583285,0.08613241266662454,0.10883580417874016,0.1297794728485526,0.1588587077061791,0.22313749000539826,0.11183396210246671,0.09116182632620591,2
71,0.08579071353760263,0.09941975608435025,0.07277873844811293,0.09929333035163107,0.21596027198761886,0.21931960323443164,0.1069219683891651,0.10051561796708758,2
