Delta,Theta,AlphaLow,AlphaHigh,BetaLow,BetaHigh,GammaLow,GammaMid,target
0.04261276514443978,0.03567573028306703,0.05874448887423908,0.03334292848378157,0.04793307180269386,0.061866359353934364,0.18163209241844247,0.5381925636394019,0
0.025146347278099508,0.03538433536588298,0.03183474686297444,0.03973313006409157,0.030005565921768642,0.05498771034613651,0.15861780203681491,0.6242903621242315,0
0.02385751468545099,0.019698864804970365,0.030536119322720837,0.02248085695989099,0.03716066290210031,0.043792611732388735,0.11875339890655522,0.7037199706859226,0
0.02255977358660272,0.02061807842263555,0.02664448637391518,0.0298923196507235,0.030293354278250025,0.055516315635095854,0.13779963796938455,0.6766760340833926,0
0.026919865695813686,0.02235330411224468,0.028099739229256186,0.034541057357737964,0.029691594430851915,0.0411419741786072,0.11399814735175334,0.7032543176437349,0
0.07346353074831227,0.07391403402207003,0.07113246430090517,0.112823577123426,0.08536963844153198,0.10769336951096303,0.15749154443673427,0.3181118414160572,0
0.03693748869112537,0.03291870202229588,0.030926468807743912,0.030943097083587466,0.030950620100517214,0.038662550524998285,0.12456488936127302,0.6740961834084589,0
0.03160796663780936,0.033780566113709075,0.03228102636610837,0.04280150532931378,0.03684072703953657,0.04095945933065418,0.11863679323651277,0.6630919559463558,0
0.028728547071610457,0.023936843807750418,0.0336705226527512,0.035723716336747514,0.03589699236296604,0.041888044245036046,0.1288002715286823,0.6713550619944562,0
0.03129879109423143,0.0325799189839898,0.02314575546613605,0.07347202823455068,0.04210404228036813,0.043083360139214225,0.1369886628918448,0.6173274409096651,0
0.07537525269655346,0.057571037877597105,0.03902847168900983,0.06032292918994487,0.07868409244977327,0.07732630880912325,0.27740952756624554,0.3342823797217526,0
0.10427111746038296,0.10599427752559758,0.12206943053107586,0.12469678502864782,0.16334907871840315,0.1901688438634729,0.08607177388049435,0.10337869299192524,1
0.03517904370027083,0.035860664574525865,0.03663998236313962,0.03440622661630288,0.04101063278308682,0.06683678841626152,0.4139012385402324,0.3361654230061801,1
0.10891045152634078,0.11764228697451085,0.11984992866954274,0.12168968443964213,0.13363287320354697,0.18178957380140603,0.09733422740086173,0.11915097398414888,1
0.10834106605373629,0.1191174830085599,0.13031564463750375,0.13511244216162938,0.1641133121933028,0.14443681462235589,0.0796277627170375,0.1189354746058745,1
